fecha_extraccion,retailer,categoria,producto,precio_lista_crc,precio_oferta_crc,descuento_pct,presentacion_ml,url_fuente,tipo_extraccion
2026-09-10,Walmart Costa Rica,Vino tinto,Vino Fantini Montepulciano D Abruzzo 1500Ml Vendido por Walmart,9766.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live
2026-09-10,Walmart Costa Rica,Vino tinto,Vino Tinto Torres Ramon Bilbao Crianza - 750ml Vendido por Walmart,6100.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Frontera Frutal Tropical Mango Maracuyá - 750 ml,4700.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Blanco Casillero del Diablo Reserve Sauvignon Blanc - 750ml,8800.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Catena Malbec - 750 ml,13780.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Blanco Trapiche Pinot Grigio -750ml,5480.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Trapiche Merlot - 750 ml,6030.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Les Jamelles Petite Rosado - 750 ml,7358.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Fantini Sangiovese - 750ml,5190.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Robert Mondavi Mondavi Cabernet Sauvignon - 750 ml,11168.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Familia Pasqua Passimento - 750 ml,12144.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Toro Bravo verdejo sauvignon blanco - 750 ml,5000.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino espumoso Calvet celebration brut rosé - 750 ml,7580.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Santa Carolina Cabernet Sauvignon -1500 ml,6935.0,,0,1500.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Pata Negra Valdepenas Crianza - 750 ml,5387.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Blanco Tarapacá Pinot Grigio - 750 ml,4902.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tarapacá Tinto Merlot - 750 ml,5387.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Trapiche Vineyards Malbec - 750 ml,4750.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino tinto Manischewitz de uva botella de vidrio - 750 ml,5168.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Marquez De Riscal reserva rioja - 750 ml,13775.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Luigi Bosca Malbec - 750 ml,11500.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Bco Sta Julia Dulc Chenin 750mlx6,4500.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Champagne Veuve Clicquot brut - 750 ml,41370.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Frontera Frutal Tropical Mango Maracuyá - 750 ml Vendido por Walmart,8800.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Blanco Casillero del Diablo Reserve Sauvignon Blanc - 750ml Vendido por Walmart,13780.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Catena Malbec - 750 ml Vendido por Walmart,5480.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Blanco Trapiche Pinot Grigio -750ml Vendido por Walmart,6030.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Trapiche Merlot - 750 ml Vendido por Walmart,9810.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Les Jamelles Petite Rosado - 750 ml Vendido por Walmart,6920.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Fantini Sangiovese - 750ml Vendido por Walmart,13960.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Tinto Robert Mondavi Mondavi Cabernet Sauvignon - 750 ml Vendido por Walmart,15180.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Walmart Costa Rica,Vinos general,Vino Familia Pasqua Passimento - 750 ml Vendido por Walmart,9300.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos?page=6,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Clos De Pirque Blanco - 1000ml,3100.0,,0,1000.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Fantini terre siciliante pinot grigio - 750 ml,6110.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Peter Brum Liebfraulmil Blan - 750ml,5100.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Don Simón premium selección chardonnay - 1000 ml,2530.0,,0,1000.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Trivento malbec reserva 2022 - 750 ml,8960.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Blue Nun Authentic White- 750ml,6830.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Blanco Pasqua Pinot Grigio -1500ml,11560.0,,0,1500.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Santa Carolina Chardonay Botella - 750 ml,3895.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Protos verdejo criado sobre lias finas - 750 ml,8310.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Frontera chardonnay viñedo protegido por la naturaleza - 750 ml,6070.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Adobe Chardonnay orgánico -375 ml,4900.0,,0,375.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco La Linda sweet viognier – 750 ml,8380.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Luigi Bosca de Sangre - 750 ml,15444.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Ruffino Blanco Orvieto - 750ml,7743.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Blanco Tarapacá Pinot Grigio - 750 ml,4950.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Maipo blanco Chardonnay -1.5 L,7500.0,,0,1500.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Tinto Fantini Trebbiano D Abruzzo -750ml,6110.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Casillero del Diablo Phenomenal Sauvignon - 750 ml,8660.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Les Jamelles Chardonay - 750ml,15380.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Twin View Cabernet 750ml,5000.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Pata Negra rueda verdejo - 750 ml,7080.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Clos De Pirque Blanco - 1000ml,6110.0,,0,1000.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Fantini terre siciliante pinot grigio - 750 ml,7200.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Peter Brum Liebfraulmil Blan - 750ml,2530.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Don Simón premium selección chardonnay - 1000 ml,8960.0,,0,1000.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Trivento malbec reserva 2022 - 750 ml,6830.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Blue Nun Authentic White- 750ml,11560.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Blanco Pasqua Pinot Grigio -1500ml,3895.0,,0,1500.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino Santa Carolina Chardonay Botella - 750 ml,8310.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino blanco,Vino blanco Protos verdejo criado sobre lias finas - 750 ml,6070.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-blanco,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Soupcon de fruit rose d&apos;anjou 2020 - 750 ml,7619.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino rosado Frontera gently bubbly spritzer roses -750 ml,5770.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Mr Wild Org Rose 750 ml,11180.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Rosado Ijalba Rioja Eco -750ml,6853.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Marques De Caceres Rosado Rioja - 750Ml,8810.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Laudum Chardonnay - 750 ml,8280.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
2026-09-10,Masxmenos Costa Rica,Vino rosado,Vino Les Jamelles Petite Rosado - 750 ml,7358.0,,0,750.0,https://www.masxmenos.cr/cervezas-vinos-y-licores/vinos/vino-rosado,web_scraping_live
