fecha_extraccion,retailer,categoria,producto,precio_lista_crc,precio_oferta_crc,descuento_pct,presentacion_ml,url_fuente,tipo_extraccion,precio_final_crc,producto_normalizado,retailer_normalizado,precio_equivalente_750ml_crc,segmento_precio,tipo_cambio_compra_usd,tipo_cambio_venta_usd
2026-09-10,Walmart Costa Rica,Vino tinto,Vino Casillero Del Diablo Merlot - 750Ml,8120.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live,8120.0,vino casillero del diablo merlot - 750ml,walmart costa rica,8120.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vino tinto,Vino Tinto Cal y Canto red blend - 750 ml,6061.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live,6061.0,vino tinto cal y canto red blend - 750 ml,walmart costa rica,6061.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vino tinto,Vino Clos De Pirque Tinto Merlot - 1000ml Vendido por Walmart,3980.0,,0,1000.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live,3980.0,vino clos de pirque tinto merlot - 1000ml vendido por walmart,walmart costa rica,2985.0,económico,446.61,451.08
2026-09-10,Walmart Costa Rica,Vino tinto,Vino Viña Maipo Clasic Series Merlot - 750 ml Vendido por Walmart,3070.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live,3070.0,vino viña maipo clasic series merlot - 750 ml vendido por walmart,walmart costa rica,3070.0,económico,446.61,451.08
2026-09-10,Walmart Costa Rica,Vino tinto,Vino Clos De Pirque Cabernet Sauvignon - 1000ml Vendido por Walmart,3190.0,,0,1000.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live,3190.0,vino clos de pirque cabernet sauvignon - 1000ml vendido por walmart,walmart costa rica,2392.5,económico,446.61,451.08
2026-09-10,Walmart Costa Rica,Vino tinto,Vino tinto Contenda merlot - 750 ml Vendido por Walmart,1980.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live,1980.0,vino tinto contenda merlot - 750 ml vendido por walmart,walmart costa rica,1980.0,económico,446.61,451.08
2026-09-10,Walmart Costa Rica,Vino tinto,Vino tinto Don Simón Tempranillo -750 ml Vendido por Walmart,7500.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live,7500.0,vino tinto don simón tempranillo -750 ml vendido por walmart,walmart costa rica,7500.0,medio,446.61,451.08
2026-09-10,Walmart Costa Rica,Vino tinto,Vino Frontera Merlot -1500 ml Vendido por Walmart,4900.0,,0,1500.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live,4900.0,vino frontera merlot -1500 ml vendido por walmart,walmart costa rica,2450.0,económico,446.61,451.08
2026-09-10,Walmart Costa Rica,Vino tinto,Vino Clos Dp Cabernet Tinto Sauvignon - 2000Ml Vendido por Walmart,10010.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live,10010.0,vino clos dp cabernet tinto sauvignon - 2000ml vendido por walmart,walmart costa rica,10010.0,premium,446.61,451.08
2026-09-10,Walmart Costa Rica,Vino tinto,Vino Fantini Montepulciano D Abruzzo 1500Ml Vendido por Walmart,9766.0,,0,750.0,https://www.walmart.co.cr/cervezas-vinos-y-licores/vinos/vino-tinto,web_scraping_live,9766.0,vino fantini montepulciano d abruzzo 1500ml vendido por walmart,walmart costa rica,9766.0,medio,446.61,451.08
